Unnamed: 0.1,Var1
1157,SGPL1
1158,SGPP1
1159,SGSH
1160,SHMT1
1161,SHMT2
1162,SI
1163,SLC10A1
1164,SLC10A2
1165,SLC12A1
1166,SLC12A2
1167,SLC12A3
1168,SLC12A4
1169,SLC12A5
1170,SLC12A6
1171,SLC12A7
1172,SLC13A1
1173,SLC13A2
1174,SLC13A3
1175,SLC13A4
1176,SLC13A5
1177,SLC14A1
1178,SLC14A2
1179,SLC15A2
1180,SLC16A1
1181,SLC16A10
1182,SLC16A2
1183,SLC16A3
1184,SLC16A7
1185,SLC16A8
1186,SLC17A1
1187,SLC17A2
1188,SLC17A3
1189,SLC17A4
1190,SLC17A5
1191,SLC17A6
1192,SLC17A7
1193,SLC17A8
1194,SLC18A1
1195,SLC18A2
1196,SLC18A3
1197,SLC19A1
1198,SLC19A2
1199,SLC19A3
1200,SLC1A1
1201,SLC1A2
1202,SLC1A3
1203,SLC1A4
1204,SLC1A5
1205,SLC1A6
1206,SLC1A7
1207,SLC20A1
1208,SLC20A2
1209,SLC22A1
1210,SLC22A2
1211,SLC22A3
1212,SLC22A4
1213,SLC22A5
1214,SLC23A1
1215,SLC23A2
1216,SLC24A1
1217,SLC24A2
1218,SLC24A3
1219,SLC24A4
1220,SLC25A1
1221,SLC25A10
1222,SLC25A11
1223,SLC25A12
1224,SLC25A13
1225,SLC25A14
1226,SLC25A15
1227,SLC25A16
1228,SLC25A18
1229,SLC25A19
1230,SLC25A2
1231,SLC25A20
1232,SLC25A21
1233,SLC25A22
1234,SLC25A26
1235,SLC25A27
1236,SLC25A3
1237,SLC25A4
1238,SLC25A5
1239,SLC25A6
1240,SLC26A1
1241,SLC26A11
1242,SLC26A2
1243,SLC26A3
1244,SLC26A4
1245,SLC26A6
1246,SLC26A7
1247,SLC26A8
1248,SLC26A9
1249,SLC27A1
1250,SLC27A2
1251,SLC27A3
1252,SLC27A4
1253,SLC27A5
1254,SLC28A1
1255,SLC28A2
1256,SLC28A3
1257,SLC29A1
1258,SLC29A2
1259,SLC29A3
1260,SLC2A1
1261,SLC2A10
1262,SLC2A11
1263,SLC2A12
1264,SLC2A13
1265,SLC2A14
1266,SLC2A2
1267,SLC2A3
1268,SLC2A4
1269,SLC2A5
1270,SLC2A6
1271,SLC2A7
1272,SLC2A8
1273,SLC2A9
1274,SLC32A1
1275,SLC33A1
1276,SLC34A1
1277,SLC34A2
1278,SLC34A3
1279,SLC35A1
1280,SLC35A2
1281,SLC35A3
1282,SLC35B2
1283,SLC35B4
1284,SLC35C1
1285,SLC35D1
1286,SLC35D2
1287,SLC36A1
1288,SLC37A4
1289,SLC38A1
1290,SLC38A2
1291,SLC38A3
1292,SLC38A4
1293,SLC38A5
1294,SLC3A1
1295,SLC3A2
1296,SLC43A1
1297,SLC43A2
1298,SLC46A1
1299,SLC4A1
1300,SLC4A10
1301,SLC4A2
1302,SLC4A3
1303,SLC4A4
1304,SLC4A5
1305,SLC4A7
1306,SLC4A8
1307,SLC4A9
1308,SLC5A1
1309,SLC5A10
1310,SLC5A11
1311,SLC5A12
1312,SLC5A2
1313,SLC5A3
1314,SLC5A5
1315,SLC5A6
1316,SLC5A7
1317,SLC5A8
1318,SLC5A9
1319,SLC6A1
1320,SLC6A11
1321,SLC6A12
1322,SLC6A13
1323,SLC6A14
1324,SLC6A2
1325,SLC6A3
1326,SLC6A4
1327,SLC6A5
1328,SLC6A6
1329,SLC6A7
1330,SLC6A8
1331,SLC6A9
1332,SLC7A1
1333,SLC7A10
1334,SLC7A11
1335,SLC7A2
1336,SLC7A3
1337,SLC7A5
1338,SLC7A6
1339,SLC7A7
1340,SLC7A8
1341,SLC7A9
1342,SLC8A1
1343,SLC8A2
1344,SLC8A3
1345,SLC9A1
1346,SLC9A2
1347,SLC9A3
1348,SLC9A4
1349,SLC9A5
1350,SLC9A7
1351,SLC9A8
1352,SLCO1A2
1353,SLCO1B1
1354,SLCO1B3
1355,SLCO1C1
1356,SLCO2A1
1357,SLCO2B1
1358,SLCO3A1
1359,SLCO4A1
1360,SMPD3
1361,SMS
1362,SOAT1
1363,SOD1
1364,SOD2
1365,SOD3
1366,SORD
1367,SPCS1
1368,SPCS2
1369,SPCS3
1370,SPHK2
1371,SPR
1372,SPTLC1
1373,SPTLC2
1374,SQLE
1375,SRD5A1
1376,SRD5A2
1377,SRM
1378,ST3GAL1
1379,ST3GAL2
1380,ST3GAL3
1381,ST3GAL4
1382,ST3GAL5
1383,ST3GAL6
1384,ST6GAL1
1385,ST6GALNAC1
1386,ST6GALNAC2
1387,ST6GALNAC3
1388,ST6GALNAC5
1389,ST6GALNAC6
1390,ST8SIA1
1391,ST8SIA5
1392,STARD3
1393,STS
1394,SUCLA2
1395,SUCLG1
1396,SUCLG2
1397,SULT1A1
1398,SULT1A2
1399,SULT1A3
1400,SULT1E1
1401,SULT2A1
1402,SULT2B1
1403,SUOX
1404,SUV39H1
1405,SUV39H2
1406,SYNJ1
1407,SYNJ2
1408,TALDO1
1409,TAT
1410,TBXAS1
1411,TCIRG1
1412,TDO2
1413,TGDS
1414,TH
1415,THNSL1
1416,THTPA
1417,TK1
1418,TK2
1419,TKT
1420,TKTL1
1421,TKTL2
1422,TM7SF2
1423,TMEM54
1424,TMLHE
1425,TPH1
1426,TPH2
1427,TPI1
1428,TPK1
1429,TPO
1430,TRDMT1
1431,TREH
1432,TST
1433,TSTA3
1434,TUSC3
1435,TXNRD1
1436,TXNRD2
1437,TXNRD3
1438,TYMP
1439,TYMS
1440,TYR
1441,TYRP1
1442,UAP1
1443,UAP1L1
1444,UCK1
1445,UCK2
1446,UCP1
1447,UCP2
1448,UCP3
1449,UCRC
1450,UEVLD
1451,UGCG
1452,UGDH
1453,UGP1
1454,UGP2
1455,UGT1A10
1456,UGT1A8
1457,UGT2B17
1458,UGT2B28
1459,UGT2B4
1460,UGT2B7
1461,UMPS
1462,UPB1
1463,UPP1
1464,UPP2
1465,UQCR
1466,UQCRB
1467,UQCRC1
1468,UQCRC2
1469,UQCRFS1
1470,UQCRH
1471,UQCRQ
1472,UROC1
1473,UROD
1474,UROS
1475,UST
1476,UXS1
1477,VNN1
1478,VNN2
1479,VNN3
1480,XDH
1481,XYLB
1482,XYLT1
1483,XYLT2
1484,ZADH2
1485,tcag7.1015
